Fecha,Cierre
1,"1,505.63"
2,"1,528.94"
3,"1,552.70"
4,"1,583.28"
5,"1,594.11"
6,"1,603.85"
7,"1,612.51"
8,"1,605.14"
9,"1,590.82"
10,"1,583.06"
11,"1,629.04"
12,"1,639.08"
13,"1,659.63"
14,"1,693.40"
15,"1,652.60"
16,"1,620.43"
17,"1,576.04"
18,"1,565.18"
19,"1,573.61"
20,"1,542.75"
21,"1,527.91"
22,"1,544.20"
23,"1,567.56"
24,"1,509.16"
25,"1,576.94"
26,"1,590.74"
27,"1,608.63"
28,"1,645.44"
29,"1,622.67"
30,"1,617.20"
31,"1,539.86"
32,"1,526.32"
33,"1,511.74"
34,"1,486.30"
35,"1,549.98"
36,"1,518.45"
37,"1,455.18"
38,"1,368.44"
39,"1,459.03"
40,"1,477.29"
41,"1,453.59"
42,"1,457.28"
43,"1,463.72"
44,"1,527.87"
45,"1,514.21"
46,"1,569.41"
47,"1,573.86"
48,"1,516.60"
49,"1,488.66"
50,"1,536.39"
51,"1,476.59"
