Fecha,Número de día,Precio Fibras MTY stock
25.07.2022,1,11.924
26.07.2022,2,12.003
27.07.2022,3,11.934
28.07.2022,4,11.924
29.07.2022,5,11.924
01.08.2022,6,11.924
02.08.2022,7,11.934
03.08.2022,8,11.944
04.08.2022,9,11.973
05.08.2022,10,11.973
08.08.2022,11,11.963
09.08.2022,12,11.963
10.08.2022,13,11.924
11.08.2022,14,11.963
12.08.2022,15,11.953
15.08.2022,16,11.973
16.08.2022,17,11.934
17.08.2022,18,11.944
18.08.2022,19,11.934
19.08.2022,20,11.953
22.08.2022,21,11.924
23.08.2022,22,11.944
24.08.2022,23,11.934
25.08.2022,24,11.983
26.08.2022,25,12.063
29.08.2022,26,11.987
30.08.2022,27,11.997
31.08.2022,28,11.977
01.09.2022,29,11.987
02.09.2022,30,12.007
05.09.2022,31,12.017
06.09.2022,32,12.067
07.09.2022,33,12.136
08.09.2022,34,12.15
09.09.2022,35,12.14
12.09.2022,36,12.14
13.09.2022,37,12.16
14.09.2022,38,12.2
15.09.2022,39,12.2
19.09.2022,40,12.22
20.09.2022,41,12.24
21.09.2022,42,12.2
22.09.2022,43,12.21
23.09.2022,44,12.23
